id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing
793,36,2019-03-06,10:30:00,11:30:00,24,"GOOD LUCK.",35,0,"GOOD DAY.",5,2,24,0,completed,3,1,2,10:38:00,00:00:00,00:00:00,10:41:00,00:03:00,22.6092,88.4141,"2019-03-06 04:51:57","2019-03-06 05:14:14",0,pending,1
794,36,2019-03-06,19:00:00,20:00:00,5,"Good day.",87,138,"Nice day.",5,2,24,0,completed,3,1,2,18:54:00,00:00:00,00:00:00,18:54:00,00:00:00,22.6092,88.4142,"2019-03-06 05:04:13","2019-03-06 13:24:41",0,approved,1
795,65,2019-03-06,11:00:00,16:00:00,21,Approve,87,0,"Good Luck",9,2,24,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-03-06 05:08:35","2019-03-06 05:10:50",0,pending,0
796,36,2019-03-06,12:00:00,13:30:00,23,Good,35,0,Good,"9,12,18",2,24,0,completed,3,1,2,11:13:00,00:00:00,00:00:00,11:14:00,00:01:00,22.6092,88.4141,"2019-03-06 05:37:01","2019-03-06 05:46:42",0,pending,1
797,36,2019-03-06,19:00:00,20:00:00,9,"Approve for all",87,0,"Good Luck",18,2,24,0,completed,3,1,2,18:51:00,00:00:00,00:00:00,18:51:00,00:00:00,22.6092,88.4142,"2019-03-06 08:09:16","2019-03-06 13:21:55",0,pending,1
798,36,2019-03-06,19:00:00,21:00:00,25,"Approve for all",87,0,"Good Luck",12,2,24,0,completed,3,1,2,18:46:00,00:00:00,00:00:00,18:46:00,00:00:00,22.6092,88.4142,"2019-03-06 08:27:48","2019-03-06 13:17:13",0,pending,1
799,36,2019-03-06,19:00:00,20:30:00,20,"Approve for all",87,0,"Taster note",19,2,24,0,approved,3,1,1,18:30:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-03-06 09:25:41","2019-03-06 13:14:38",0,pending,0
800,36,2019-03-30,13:00:00,15:30:00,20,"Approve For All",108,0,svss,26,2,6,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-03-06 09:28:25","2019-03-06 10:39:47",0,pending,0
801,36,2019-03-06,17:00:00,18:30:00,23,Admin,87,0,Taster,11,2,23,0,completed,3,1,2,17:15:00,00:00:00,00:00:00,17:15:00,00:00:00,22.6092,88.4142,"2019-03-06 10:47:49","2019-03-06 11:47:20",0,pending,1
802,36,2019-03-06,17:00:00,18:30:00,20,Approve,111,0,"Good Luck",26,2,24,0,completed,3,1,2,16:33:00,00:00:00,00:00:00,16:39:00,00:06:00,22.6092,88.4141,"2019-03-06 11:00:30","2019-03-06 11:10:23",0,pending,1
803,65,2019-03-06,17:00:00,18:30:00,24,Dhdhdhhd,111,0,This,7,2,24,0,completed,3,1,2,17:15:00,00:00:00,00:00:00,17:15:00,00:00:00,22.6092,88.4141,"2019-03-06 11:19:00","2019-03-06 11:45:42",0,pending,1
806,36,2019-03-06,18:00:00,18:40:00,16,,87,0,"Good Luck",5,2,24,0,completed,3,1,2,18:05:00,00:00:00,00:00:00,18:05:00,00:00:00,22.6092,88.4142,"2019-03-06 12:33:28","2019-03-06 12:35:59",0,pending,1
