id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived
635,36,2019-02-19,17:00:00,19:30:00,18,"Approve for testing",35,0,"Good Luck",29,2,24,0,completed,3,1,2,16:42:00,00:00:00,00:00:00,18:19:00,01:37:00,22.6092,88.4141,"2019-02-19 11:03:23","2019-05-27 10:01:30",0,pending,1,0
787,65,2019-03-05,17:00:00,19:30:00,21,Afgh,108,0,Chhibber,18,2,24,0,completed,3,1,2,16:37:00,00:00:00,00:00:00,16:39:00,00:02:00,22.6092,88.4143,"2019-03-05 10:41:27","2019-05-27 10:54:37",0,pending,1,0
788,65,2019-03-05,16:00:00,17:00:00,23,Approve,111,0,"Good Luck",11,2,24,0,completed,4,1,1,16:21:00,00:00:00,00:00:00,16:23:00,00:02:00,22.6092,88.4142,"2019-03-05 10:49:06","2019-05-27 10:54:41",0,pending,1,0
793,36,2019-03-06,10:30:00,11:30:00,24,"GOOD LUCK.",35,0,"GOOD DAY.",5,2,24,0,completed,3,1,2,10:38:00,00:00:00,00:00:00,10:41:00,00:03:00,22.6092,88.4141,"2019-03-06 04:51:57","2019-05-27 10:54:43",0,pending,1,0
796,36,2019-03-06,12:00:00,13:30:00,23,Good,35,0,Good,"9,12,18",2,24,0,completed,3,1,2,11:13:00,00:00:00,00:00:00,11:14:00,00:01:00,22.6092,88.4141,"2019-03-06 05:37:01","2019-05-27 10:54:45",0,pending,1,0
797,36,2019-03-06,19:00:00,20:00:00,9,"Approve for all",87,0,"Good Luck",18,2,24,0,completed,3,1,2,18:51:00,00:00:00,00:00:00,18:51:00,00:00:00,22.6092,88.4142,"2019-03-06 08:09:16","2019-05-27 10:54:48",0,pending,1,0
798,36,2019-03-06,19:00:00,21:00:00,25,"Approve for all",87,0,"Good Luck",12,2,24,0,completed,3,1,2,18:46:00,00:00:00,00:00:00,18:46:00,00:00:00,22.6092,88.4142,"2019-03-06 08:27:48","2019-05-27 10:53:15",0,pending,1,0
801,36,2019-03-06,17:00:00,18:30:00,23,Admin,87,0,Taster,11,2,23,0,completed,3,1,2,17:15:00,00:00:00,00:00:00,17:15:00,00:00:00,22.6092,88.4142,"2019-03-06 10:47:49","2019-05-27 10:53:19",0,pending,1,0
802,36,2019-03-06,17:00:00,18:30:00,20,Approve,111,0,"Good Luck",26,2,24,0,completed,3,1,2,16:33:00,00:00:00,00:00:00,16:39:00,00:06:00,22.6092,88.4141,"2019-03-06 11:00:30","2019-05-27 10:53:22",0,pending,1,0
803,65,2019-03-06,17:00:00,18:30:00,24,Dhdhdhhd,111,0,This,7,2,24,0,completed,3,1,2,17:15:00,00:00:00,00:00:00,17:15:00,00:00:00,22.6092,88.4141,"2019-03-06 11:19:00","2019-05-27 10:53:26",0,pending,1,0
804,36,2019-03-06,18:00:00,20:00:00,18,,87,0,"Good Luck",1,2,24,0,completed,4,1,2,18:20:00,00:00:00,00:00:00,18:20:00,00:00:00,22.6092,88.4142,"2019-03-06 11:47:13","2019-05-27 10:53:28",0,pending,1,0
806,36,2019-03-06,18:00:00,18:40:00,16,,87,0,"Good Luck",5,2,24,0,completed,3,1,2,18:05:00,00:00:00,00:00:00,18:05:00,00:00:00,22.6092,88.4142,"2019-03-06 12:33:28","2019-05-27 10:53:32",0,pending,1,0
807,36,2019-03-06,18:00:00,19:10:00,21,,87,0,"Good Luck",5,2,24,0,completed,4,1,2,18:27:00,00:00:00,00:00:00,18:27:00,00:00:00,22.6092,88.4142,"2019-03-06 12:36:11","2019-05-27 10:53:40",0,pending,1,0
809,36,2019-03-07,12:00:00,14:30:00,16,"Admin&#039;s Note",108,0,"Taster&#039;s Note",11,2,22,0,completed,4,1,2,12:22:00,00:00:00,00:00:00,12:53:00,00:31:00,22.6092,88.4142,"2019-03-07 05:58:46","2019-05-27 10:53:44",0,pending,1,0
