id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late
1185,22,2019-09-04,01:00:00,02:00:00,5056,,2509,0,,"2,9",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-07-24 10:42:06","2019-08-21 10:24:44",0,pending,0,0,0,0
1268,154,2019-08-20,02:00:00,04:00:00,35,,35,0,,11,2,,0,completed,3,1,2,13:27:00,00:00:00,00:00:00,13:27:00,00:00:00,22.6091,88.4141,"2019-08-19 05:05:35","2019-08-21 00:10:02",0,pending,1,1,0,1
1272,154,2019-08-21,00:00:00,03:00:00,4781,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry&#039;s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",35,0,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry&#039;s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",11,2,,0,completed,4,1,2,12:22:00,00:00:00,00:00:00,12:32:00,00:10:00,1,0,"2019-08-19 05:55:40","2019-08-21 07:11:05",0,pending,1,0,0,0
1299,2511,2019-08-21,17:00:00,19:00:00,5056,,2509,0,,11,2,23,0,completed,4,1,2,18:33:00,00:00:00,00:00:00,18:34:00,00:01:00,22.6091,88.4142,"2019-08-20 10:51:11","2019-08-21 13:09:24",0,pending,1,0,0,1
1305,31,2019-08-21,11:00:00,12:00:00,4781,"test note",87,0,"The text should be &quot;There is no billing amount for this month.&quot; When the user first time enters the billing section and there is no data, then the text says &quot;No billing done for this month.&quot; When the user taps on the &quot;Weekly&quot; tab and comes back, the text changes to &quot;There is no billing amount for this month.&quot; 
The text should be &quot;There is no billing amount for this month.&quot; When the user first time enters the billing section and there is no data, then the text says &quot;No billing done for this month.&quot; When the user taps on the &quot;Weekly&quot; tab and comes back, the text changes to &quot;There is no billing amount for this month.&quot; 
The text should be &quot;There is no billing amount for this month.&quot; When the user first time enters the billing section and there is no data, then the text says &quot;No billing done for this month.&quot; When the user taps on the &quot;Weekly&quot; tab and comes back, the text changes to &quot;There is no billing amount for this month.&quot; 
The text should be &quot;There is no billing amount for this month.&quot; When the user first time enters the billing section and there is no data, then the text says &quot;No billing done for this month.&quot; When the user taps on the &quot;Weekly&quot; tab and comes back, the text changes to &quot;There is no billing amount for this month.&quot; ",2,2,,0,completed,3,1,2,17:12:00,00:00:00,00:00:00,17:20:00,00:08:00,1,0,"2019-08-20 12:30:36","2019-08-21 11:55:12",0,pending,1,0,0,0
1308,154,2019-08-21,20:56:00,23:56:00,4781,"Lorem ipsum, or lipsum as it is sometimes known, is dummy text used in laying out print, graphic or web designs. The passage is attributed to an unknown typesetter in the 15th century who is thought to have scrambled parts of Cicero&#039;s De Finibus Bonorum et Malorum for use in a type specimen book.","35,87",0,"Lorem ipsum, or lipsum as it is sometimes known, is dummy text used in laying out print, graphic or web designs. The passage is attributed to an unknown typesetter in the 15th century who is thought to have scrambled parts of Cicero&#039;s De Finibus Bonorum et Malorum for use in a type specimen book.",11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 06:26:15","2019-08-21 08:05:53",0,pending,0,0,0,0
1314,154,2019-08-21,13:17:00,13:47:00,5057,,35,0,,11,2,22,0,completed,3,1,2,13:19:00,00:00:00,00:00:00,13:25:00,00:06:00,0,0,"2019-08-21 07:47:05","2019-08-21 08:30:40",0,pending,0,0,0,0
1315,154,2019-08-21,14:42:00,15:00:00,5057,,35,0,,11,2,,0,completed,3,1,2,14:43:00,00:00:00,00:00:00,14:45:00,00:02:00,0,0,"2019-08-21 09:11:30","2019-08-21 09:15:51",0,pending,0,0,0,0
1319,2511,2019-08-31,05:00:00,06:00:00,5056,Admin,"2504,2509,2518",0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 10:39:19","2019-08-21 10:49:55",0,pending,0,0,0,0
1320,2511,2019-08-21,21:26:00,22:56:00,5056,,"2504,2509,2518",0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 10:55:32","2019-08-21 11:01:39",0,pending,0,0,0,0
1321,2511,2019-08-22,20:00:00,21:00:00,5056,"Have a good day.","2504,2509,2518",0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 11:30:34","2019-08-21 12:19:42",0,pending,0,0,0,0
1322,2511,2019-08-23,18:00:00,19:00:00,5056,,"2504,2509,2518",0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 12:26:18","2019-08-21 12:28:30",0,pending,0,0,0,0
1323,2511,2019-08-24,19:05:00,20:05:00,5056,,"2504,2509,2518",0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 12:37:50","2019-08-21 12:42:41",0,pending,0,0,0,0
1325,2511,2019-08-26,19:00:00,20:00:00,5056,,"2504,2509,2518",0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-08-21 12:48:05","2019-08-21 12:50:58",0,pending,0,0,0,0
1328,2511,2019-08-21,19:02:00,20:02:00,5056,,2504,0,,11,2,,0,completed,3,1,2,19:03:00,00:00:00,00:00:00,19:04:00,00:01:00,22.6091,88.4141,"2019-08-21 13:31:51","2019-08-21 13:36:12",0,pending,1,0,0,0
