id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1471,154,2019-12-09,05:00:00,06:00:00,4781,,2522,0,,"2,5",2,,0,completed,3,1,2,13:30:00,00:00:00,00:00:00,13:33:00,00:03:00,1,0,"2019-12-09 07:57:39","2019-12-10 00:10:01",0,pending,1,1,0,0,0
1472,154,2019-12-09,02:00:00,03:00:00,4781,,2522,0,,"2,9,9,9",2,,0,completed,3,1,3,13:41:00,00:00:00,00:00:00,14:26:00,00:41:00,22.6105,88.4163,"2019-12-09 08:07:22","2019-12-10 00:10:01",0,pending,1,1,0,1,0
1473,154,2019-12-09,11:00:00,11:30:00,4781,,2522,0,,2,2,,0,completed,3,1,2,14:50:00,00:00:00,00:00:00,15:22:00,00:32:00,22.607,88.4147,"2019-12-09 08:58:07","2019-12-10 00:10:01",0,pending,1,1,0,1,0
1474,154,2019-12-09,07:16:00,07:50:00,4781,,2522,0,,5,2,,0,completed,3,1,2,14:38:00,00:00:00,00:00:00,15:13:00,06:13:00,1,0,"2019-12-09 09:02:34","2019-12-10 00:10:01",0,pending,1,1,0,0,0
1477,154,2019-12-09,06:10:00,06:40:00,4781,,2522,0,,2,2,,0,completed,3,1,2,16:40:00,00:00:00,00:00:00,16:43:00,00:03:00,1,0,"2019-12-09 10:52:43","2019-12-10 00:10:01",0,pending,1,1,0,0,0
1482,154,2019-12-09,09:00:00,09:32:00,4781,,2477,0,,2,2,,0,completed,3,1,2,17:42:00,00:00:00,00:00:00,17:51:00,00:09:00,1,0,"2019-12-09 12:08:59","2019-12-10 00:10:01",0,pending,1,1,0,0,0
1490,154,2019-12-10,02:00:00,02:30:00,4781,,2522,0,,,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-10 04:54:36","2019-12-10 04:59:24",0,pending,0,0,0,0,0
1495,154,2019-12-11,03:00:00,03:34:00,4781,,2522,0,,2,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-10 05:53:14","2019-12-10 06:11:37",0,pending,0,0,0,0,0
1496,154,2019-12-10,11:00:00,11:35:00,4781,,35,0,,2,2,,0,approved,3,1,1,17:31:00,00:00:00,00:00:00,00:00:00,00:00:00,22.6095,88.4143,"2019-12-10 07:08:58","2019-12-10 12:01:10",0,pending,0,0,0,1,0
1498,154,2019-12-10,10:00:00,10:30:00,4781,"Please add job",35,0,,5,2,,0,completed,3,1,2,16:21:00,00:00:00,00:00:00,17:58:00,00:28:00,22.6083,88.4147,"2019-12-10 07:23:22","2019-12-10 12:29:12",0,pending,1,0,0,1,0
