id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_rate,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1820,309,2020-02-22,14:00:00,17:00:00,4013,"Lvov, Zachlawi mocha and Hazelnut vodkas, Bartenura Moscato and Bartenura Sparkling Rose",254,0,35,"Lvov, Zachlawi mocha and Hazelnut vodkas, Bartenura Moscato and Bartenura Sparkling Rose","158,142,931,930,133",2,,0,approved,3,1,1,14:11:00,00:00:00,00:00:00,00:00:00,00:00:00,40.7381,-73.1202,"2020-02-22 15:12:27","2020-02-22 19:21:36",0,pending,0,0,0,1,0
1821,2569,2020-02-26,15:00:00,17:00:00,5120,,2553,2663,26,,"158,142,133,146",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-22 15:28:09","2020-02-22 15:58:51",0,approved,0,0,0,0,0
1822,2569,2020-02-22,17:00:00,20:00:00,1676,,2553,2662,25,,"222,133,142,158,531,885,146,149",2,,0,completed,3,1,2,17:15:00,00:00:00,00:00:00,17:48:00,00:33:00,40.6896,-73.7216,"2020-02-22 15:31:36","2020-02-22 22:48:29",0,approved,0,0,0,1,0
1823,2572,2020-02-22,17:00:00,20:00:00,1077,,2553,2664,25,,"158,885,146,133",2,,0,approved,3,1,1,03:51:00,00:00:00,00:00:00,00:00:00,00:00:00,40.6666,-73.8824,"2020-02-22 15:39:23","2020-02-22 23:01:42",0,approved,0,0,0,1,0
1824,324,2020-02-22,20:00:00,23:00:00,3688,,2637,2643,0,,"531,133,158",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-22 16:04:20","2020-02-22 16:58:59",0,approved,0,0,0,0,0
1825,313,2020-02-22,15:00:00,18:00:00,2327,,2637,2653,0,,146,2,,0,completed,3,1,2,14:35:00,00:00:00,00:00:00,17:48:00,03:13:00,40.7522,-73.8711,"2020-02-22 16:07:30","2020-02-22 22:51:41",0,approved,1,0,0,0,0
1826,2585,2020-02-22,17:30:00,20:30:00,5113,,2637,0,0,,"125,133,158",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-22 16:11:30","2020-02-22 16:58:32",0,pending,0,0,0,0,0
1827,320,2020-02-22,18:00:00,21:00:00,4343,,2637,2666,0,,"968,948",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-22 16:14:32","2020-02-22 18:44:32",0,approved,0,0,0,0,0
1828,320,2020-02-22,20:00:00,23:00:00,777,"Jeunesse cab, Honor tequila Blanco, Bartenura Moscato, Lvov",2637,2667,0,"Jeunesse cab, Honor tequila Blanco, Bartenura Moscato, Lvov","158,146,133",2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-22 16:17:21","2020-02-22 18:44:15",0,approved,0,0,0,0,0
1829,320,2020-02-22,16:00:00,19:00:00,402,,2637,2667,0,,133,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2020-02-22 16:18:59","2020-02-22 18:44:03",0,approved,0,0,0,0,0
