ItemNumber,UPC,GTIN,Category,Brand,Name,Varietal,BlendDetails,Vintage,WineType,BarrelAged,Age,Proof,Style,Country,SubRegion,BottleSize,BottleUOM,Closure,BottleMaterial,BottleHeight,BottleWidth,BottleDepth,BottleWeight,BottlesPerCase,VolumeCaseLiters,CaseWidth,CaseDepth,CaseHeight,CaseWeight,CaseCube,Ti,Hi,CasesPerPallet,CasesProduced,Vinification,Kosher,Mevushal,KosherCertifyingAgency,GlutenFree,Vegan,TastingNote,FoodPairing,WinemakersDistillers,ProductionProcess,SoilType,Topography,AgingProcess,ABVProof,pH,Acidity,ResidualSugarGL,Brix,Awards,Reviews,Rating
39020,851561007317,10851561007314,Imports Under,Carmel Wines,CREEK WHITE YATIR 750 ML,,Viognier/Chenin Blanc,2019,White,No,,,Dry,Israel,,750,ML,,Glass,11.8,3,3,3,6,4.5,9.25,12,6.5,18.75,0,14,7,98,,,Kosher For Passover,No,OU; Chug Chasam Sofer (Bnei Brak),No,No,,,Eran Goldeasser,0,Rendzina & Loess,High mountain with impact from the desert edge.  Cold winter with low annual rainfall. Moderate-hot summer days/cool nights. ,,13.50,,,,0,,,
26450,087752027189,10087752027186,Imports Sparklng,Bartenura Wines,Bartenura Magenta Sweet Red 750ml,,,,Red,No,,,Sparkling Sweet,Italy,Piedmonte,750,ML,Natural Cork,Glass,11.46,3.37,3.37,3.15,12,9,13.98,10.5,12.4,39.7,1.16,11,5,55,,,Kosher For Passover,Yes,OU; Rabbi Garelik; Rabbi Weissmandl,No,No,,,,0,,,,7.50,,,,0,,,
14207,087752009765,10087752009762,Wines Under,Herzog,CABERNET SAUV LT/17 MV HERZOG 750 ML,Cabernet Sauvignon,,2017,Red,No,,,Dry,USA,"Chalk Hill, California",750,ML,Natural Cork,Glass,0,0,0,0,6,4.5,14.4,23.1,4.6,25,0,0,0,50,,,Kosher For Passover,Yes,OU; Rabbi Weinberger; Rabbi Teichman,No,No,"The Chalk Hill is reputed for its impressive cellaring ability. An elegant yet rich wine redolent with notes of black fruit, licorice, cherry and tobacco on the nose and palate with great tanninss lingering on the finish.",,,0,,,,13.50,,,,0,,,
14407,087752009765,10087752009762,Wines Under,Herzog,Herzog M-Series Cabernet Sauvignon LT/17  750ML,,,2017,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,12,9,9.5,13.25,13.25,40.5,0,0,0,60,,,,Yes,,No,No,,,,,,,,13.50,,,,,,,
14330,087752009383,10087752009380,Wines Under,Herzog,Herzog Merlot SR/AV 750ml,,,2018,,No,,,,,,750,ML,,,0,0,0,0,12,9,4,4,4,37,0,0,0,70,,,,No,,No,No,,,,,,,,13.00,,,,,,,
40570,087752026953,10087752026950,Imports Under,French Selections,LE ROSE DE GREYSAC 750 ML,Merlot,,2020,Rose,No,,,Dry,France,,750,ML,,Glass,12.2,2.95,2.95,2.87,12,9,2.2,18.91,6.89,37.48,0.84,14,5,56,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.50,,,,0,,,
12750,087752026083,10087752026080,Wines Under,Kesser,Zakon Nature Screaming 750ml,,,2020,Red,No,,,Dry,USA,New York,750,ML,Natural Cork,Glass,12.5,3,3,2.97,12,9,9.75,12.75,12.75,38,0.73,0,0,60,,,Kosher For Passover,No,OK; Rabbi Weinberger,No,No,,,,0,,,,8.80,,,,0,,,
38390,087752022184,10087752022181,Imports Under,Tabor,MARSELAN TABOR 750 ML,,,2017,,No,,,,,,750,ML,,,0,0,0,0,6,4.5,1,1,1,19.8,0,0,0,75,,,,No,,No,No,,,,,,,,13.50,,,,,,,
40913,087752025802,10087752025809,Imports Under,French Selections,LEOVILLE POYFERRE 3 LIT,,,2017,,No,,,,,,3,L,,,0,0,0,0,1,3,1,1,1,1,0,0,0,1,,,,No,,No,No,,,,,,,,13.00,,,,,,,
14900,644216610495,10644216610492,Wines Under,Covenant,Covenant Blanc De Blancs 750ml,Chardonnay,,,White,No,,,Dry,USA,California,750,ML,Natural Cork,Glass,0,0,0,0,12,9,1,1,1,1,0.48,28,4,44,,,Kosher For Passover,Yes,OU; Rabbi Babad (Tartikover Rebbe),No,No,,,,0,,,,14.20,,,,0,,,
23212,087752027219,10087752027216,Imports Under,Elvi,HERENZA WHITE ELVI WINES 750ML,,,2020,,No,,,,,,750,ML,Natural Cork,,11.8,2.76,2.76,2.75,12,9,12.2,9.45,12.6,33,0.82,15,5,75,,,,No,,No,No,,,,,,,,12.50,,,,,,,
14205,14205,14205,Wines Under,Herzog,Herzog Cabernet Sauv LT/15 750ml,,,2015,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,6,4.5,1.5,1.5,1.5,25,0,0,0,50,,,,Yes,,No,No,,,,,,,,13.50,,,,,,,
32985,087752027073,10087752027070,Imports Under,Jezreel,GEWURZTRAMINER JEZREEL 750 ML,Gewürztraminer,,2019,White,No,,,Dry,Israel,,750,ML,,Glass,13,2.9,2.9,0,12,9,12.5,9,13.5,33,1.11,11,5,70,,,Kosher For Passover,No,OK; Babad,No,No,,,,0,,,,11.00,,,,0,,,
33820,087752025734,10087752025731,Imports Under,Segal,WILD FERMENTATION CHARDONNAY SEGAL 750 ML,Chardonnay,,2019,White,No,,,Dry,Israel,,750,ML,,Glass,11.7,3.2,3.2,3.1,12,9,9.7,13,11.6,37,0.8,16,5,70,,,Kosher For Passover,No,OK; Chug Chasam Sofer(Petach Tikvah); Rabbi Berger,No,No,,,,0,,,,12.00,,,,0,,,
33810,087752025727,10087752025724,Imports Under,Segal,WILD FERMENTATION CABERNET SAUVIGNON SEGAL 750 ML,Cabernet Sauvignon,,2019,Red,No,,,Dry,Israel,,750,ML,,Glass,12.8,2.9,2.9,2.95,12,9,8.78,11.8,12.7,37,0.8,16,5,80,,,Kosher For Passover,No,OK; Chug Chasam Sofer(Petach Tikvah); Rabbi Berger,No,No,,,,0,,,,13.50,,,,0,,,
15170,690770993659,16090770993656,Wines Under,Hajdu,Hajdu Petite Sirah 750ml,Petite Syrah,,2018,Red,No,,,Dry,USA,California,750,ML,Natural Cork,Glass,12,3.25,3.25,3,12,4.5,10,13,12,40,0.48,0,0,56,,,Kosher For Passover,No,,No,No,,,,0,,,,14.40,,,,0,,,
14215,10087752009823,10087752009823,Wines Under,Herzog,Herzog Cabernet Sauv NV/05 750ml,Cabernet Sauvignon,,2005,Red,No,,,Dry,USA,"Napa Valley, California",750,ML,Natural Cork,Glass,0,0,0,0,12,9,5,5,5,36,0,0,0,60,,,Kosher For Passover,No,OU; Rabbi Weinberger; Rabbi Teichman,No,No,,,,0,,,,13.00,,,,0,,,
40963,087752026250,10087752026257,Imports Under,French Selections,CHEVALIER LASCOMBES 3LIT,,,2017,Red,No,,,Dry,France,,3,L,,Glass,0,0,0,0,1,3,1,1,1,1,0.99,7,8,1,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.00,,,,0,,,
40961,087752026243,10087752026240,Imports Under,French Selections,chevalier De Lascombes Margaux 1.5L,,,2017,Red,No,,,Dry,France,,1.50,L,,Glass,0,0,0,0,1,1.5,3,5,1,28,0.99,7,8,60,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.00,,,,0,,,
